Id,Word,Transcription,Definition,Example
307,end,end,To end is to stop or finish.,They are happy because the teacher wanted to end the class early.
308,exchange,ɪksˈtʃeɪndʒ,To exchange is to give one thing in return for another.,The men exchange business cards.
309,family,ˈfæməli,A family is a group of people who are related to each other.,There are four people in my family.
310,from,frɒm,From shows a starting place or position.,Chris studies from 10 o’clock to noon every morning.
311,green,ɡriːn,Green is the color of growing grass or leaves.,I don’t like green apples.
312,home,həʊm,A person’s home is the place where that person lives.,The family likes to stay at home on the weekends.
313,January,dʒǽnjuèri,January is the first month of the year.,My birthday is in January.
314,red,red,Red is the color of blood.,Jack is wearing a red shirt.
315,seven,ˈsevn,Seven is the word for the number 7.,I have seven colored pencils on my desk.
316,start,stɑːrt,To start is to begin doing something.,Catherine has to start work at 8 o’clock in the morning.
317,together,təˈɡeðər,Together shows an action is done with another person or thing.,Let’s work together to finish the project.
318,university,ˌjuːnɪˈvɜːrsəti,A university is a school where people study for a degree.,My dream is to go to a good university.
319,wear,wer,To wear is to have clothing on your body.,The man has to wear a suit to work.
320,year,jɜː(r),A year is a period of 365 days or twelve months.,You become one year older every birthday.
321,appreciate,əˈpriːʃieɪt,To appreciate something is to understand its good qualities.,I can appreciate the lovely scenery.
322,available,əˈveɪləbl,"If something is available, it means you can get it.",There were many seats available in the room.
323,beat,biːt,To beat someone means to do better than they do.,I managed to beat everyone in the race.
324,bright,braɪt,"If something is bright, it gives off a lot of light.",The bright light from the explosion hurt my eyes.
325,celebrate,ˈselɪbreɪt,To celebrate is to do something to show that an event is special.,We all celebrated when we heard the great news.
326,decide,dɪˈsaɪd,To decide is to make a definite choice.,He tried to decide which one to eat first.
327,disappear,ˌdɪsəˈpɪr,To disappear means to go away or not be seen.,The top of the building is disappearing in the clouds.
328,else,els,"If you talk about something else, you talk about something different.","I wanted a bike for my birthday, but I got something else."
329,fair,fer,Fair means reasonable or right.,He sold me his car for a fair price.
330,flow,fləʊ,To flow is to move easily and continuously in one direction.,The water flowed over the rocks and into the lake.
331,forward,ˈfɔːrwərd,"If you move forward, you move in the direction in front of you.","When he saw his mother, the baby crawled forward to her."
332,hill,hɪl,A hill is a raised area of land. It is higher than the land around it.,The sun was rising above the green hills.
333,level,ˈlevl,A level is a point on a scale that measures something.,Please check the level of the temperature.
334,lone,ləʊn,A lone person or thing is the only one in a given place.,A lone man walked along the street.
335,puddle,ˈpʌdl,A puddle is a pool of liquid on the ground.,"When the ice melted, it formed a puddle."
336,response,rɪˈspɑːns,A response is the answer to a question.,He asked if I was sad. My response was “No.”
337,season,ˈsiːzn,"A season is a time of the year: spring, summer, fall, or winter.","Fall is a warm season, while winter is very cold."
338,solution,səˈluːʃn,A solution is a way to solve a problem.,There are many problems. We need solutions!
339,waste,weɪst,To waste means to use something carelessly and unnecessarily.,Turn off the water so you don’t waste it.
340,whether,ˈweðər,You use whether when you must choose between two things.,I could not decide whether to go left or right.
341,always,ˈɔːlweɪz,Always means that something happens all the time.,They always brush their teeth in the morning.
342,ask,æsk,To ask is to say or write something to get an answer.,Please ask questions if you do not understand.
343,banana,bəˈnænə,A banana is a long yellow fruit with soft white flesh inside.,Did you eat a banana for breakfast?
344,bread,bred,Bread is a food made from flour and water.,You need two pieces of bread to make a sandwich.
345,cake,keɪk,"Cake is a sweet dessert made from flour, water, sugar, and eggs.",What a beautiful birthday cake!
346,carrot,ˈkærət,A carrot is an orange vegetable.,I put a carrot in my salad.
347,chicken,ˈtʃɪkɪn,Chicken is a bird that is often used for food.,Chicken is his favorite kind of meat.
348,chocolate,ˈtʃɔːklət,Chocolate is a sweet food made from cacao beans.,I made a chocolate cake for my mom’s party.
349,contain,kənˈteɪn,To contain is to hold or have something.,I have to find something to contain these apples.
350,delicious,dɪˈlɪʃəs,"If a food is delicious, it is tasty.",I loved the delicious fried chicken I ate for dinner!
351,diet,ˈdaɪət,A diet is the food regularly eaten by a person.,His diet mostly consists of fruits and vegetables.
352,eat,iːt,To eat is to chew and swallow food.,You should eat breakfast every day.
353,food,fuːd,Food is things people and animals eat.,Pasta is a famous food in Italy.
354,fruit,fruːt,Fruit is a type of healthy food that grows on trees and plants.,"Apples, pears, and oranges are types of fruit."
355,great,ɡreɪt,"When something is great, it is very good.","It was a great, exciting game!"
356,health,helθ,Health is the state of a person’s body.,People who want good health should not smoke.
357,recipe,ˈresəpi,A recipe is a set of instructions for cooking a certain type of food.,Do you use a recipe when you make that sauce?
358,restaurant,ˈrestrɑːnt,A restaurant is a business where people sit and eat food.,Let’s eat at the Indian restaurant.
359,special,ˈspeʃl,"If something is special, it is unique and different.",The cupcake was special because it had blue frosting.
360,water,ˈwɔːtər,Water is a clear liquid that people need to survive.,Drink eight cups of water every day.
361,alive,əˈlaɪv,Someone or something that is alive is not dead.,My grandparents are still alive even though they are over 90.
362,bone,bəʊn,A bone is a hard part of the body.,I brought home a nice bone for my dog.
363,bother,ˈbɑːðər,To bother is to make the effort to do something.,No one bothered to wash the dishes today.
364,captain,ˈkæptɪn,A captain is the person who controls a ship or airplane.,The captain sailed his ship to Australia.
365,conclusion,kənˈkluːʒn,The conclusion of something is the final part of it.,"At the conclusion of the race, the spectators cheered for the winner."
366,doubt,daʊt,Doubt is a feeling of not being sure.,I have doubt that the story is true.
367,explore,ɪkˈsplɔːr,To explore is to look for new places.,He wants to explore the world and see new things.
368,glad,ɡlæd,"If you are glad, you are happy.",I am glad you came to my party.
369,however,haʊˈevər,However means despite or not being influenced by something.,"She is a great cook. However, she never had professional lessons."
370,injustice,ɪnˈdʒʌstɪs,Injustice is a lack of fairness or justice.,Putting an innocent person in jail is an act of injustice.
371,international,ˌɪntərˈnæʃnəl,"If something is international, it involves more than one country.",The United Nations is a powerful international organization.
372,lawyer,ˈlɔɪər,A lawyer works with the law and represents people in court.,The lawyer left the courthouse after the judge made her decision.
